hyp_id,semantics,n_runs,exact,n_afs_checked,strict_total_exact,counterexample_json,strict_total_counterexample_json,hypothesis_text
PRF_003,PRF,3,0,5,0,"{""n"": 2, ""attacks"": [[0, 1]], ""expected_in_sets"": [[""a0""]], ""learned_in_sets"": [[""a0"", ""a1""]]}","{""n"": 1, ""attacks"": [[0, 0]], ""expected_in_sets"": [[]], ""learned_in_sets"": []}",:- defeated(V1); not not_defended(V1). :- out(V1); not defeated(V1).
PRF_004,PRF,1,0,5,0,"{""n"": 2, ""attacks"": [[0, 1]], ""expected_in_sets"": [[""a0""]], ""learned_in_sets"": [[""a0"", ""a1""]]}","{""n"": 1, ""attacks"": [[0, 0]], ""expected_in_sets"": [[]], ""learned_in_sets"": []}",:- defeated(V1); not not_defended(V1). :- out(V1); supported(V1).
PRF_005,PRF,1,1,66066,1,,,:- defeated(V1); not not_defended(V1). out(V1) :- not_defended(V1).
PRF_006,PRF,6,0,5,0,"{""n"": 2, ""attacks"": [[0, 1]], ""expected_in_sets"": [[""a0""]], ""learned_in_sets"": [[""a0""], [""a1""]]}","{""n"": 2, ""attacks"": [[0, 1]], ""expected_in_sets"": [[""a0""]], ""learned_in_sets"": [[""a0""], [""a1""]]}",:- in(V1); not supported(V1).
PRF_007,PRF,1,1,66066,1,,,:- in(V1); not supported(V1). :- in(V1); not_defended(V1).
PRF_008,PRF,2,0,2,0,"{""n"": 1, ""attacks"": [[0, 0]], ""expected_in_sets"": [[]], ""learned_in_sets"": []}","{""n"": 1, ""attacks"": [[0, 0]], ""expected_in_sets"": [[]], ""learned_in_sets"": []}",:- in(V1); not supported(V1). :- not_defended(V1); not defeated(V1).
PRF_009,PRF,1,1,66066,1,,,:- in(V1); not supported(V1). :- not_defended(V1); not out(V1).
PRF_010,PRF,2,1,66066,1,,,:- in(V1); not supported(V1). out(V1) :- not_defended(V1).
PRF_011,PRF,1,1,66066,1,,,:- in(V1); not_defended(V1). :- in(V1); defeated(V1).
PRF_012,PRF,5,0,8,0,"{""n"": 2, ""attacks"": [[0, 0], [0, 1]], ""expected_in_sets"": [[]], ""learned_in_sets"": [[""a1""]]}","{""n"": 2, ""attacks"": [[0, 0], [0, 1]], ""expected_in_sets"": [[]], ""learned_in_sets"": [[""a1""]]}",":- in(V2); att(V1,V2); not not_defended(V1)."
PRF_013,PRF,2,0,2,0,"{""n"": 1, ""attacks"": [[0, 0]], ""expected_in_sets"": [[]], ""learned_in_sets"": []}","{""n"": 1, ""attacks"": [[0, 0]], ""expected_in_sets"": [[]], ""learned_in_sets"": []}",:- not_defended(V1); not defeated(V1). :- defeated(V1); not out(V1).
PRF_014,PRF,3,0,2,0,"{""n"": 1, ""attacks"": [[0, 0]], ""expected_in_sets"": [[]], ""learned_in_sets"": []}","{""n"": 1, ""attacks"": [[0, 0]], ""expected_in_sets"": [[]], ""learned_in_sets"": []}",:- not_defended(V1); not defeated(V1). :- in(V1); defeated(V1).
PRF_015,PRF,3,1,66066,1,,,:- not_defended(V1); not out(V1). :- defeated(V1); not out(V1).
PRF_016,PRF,1,0,5,0,"{""n"": 2, ""attacks"": [[0, 1]], ""expected_in_sets"": [[""a0""]], ""learned_in_sets"": [[""a0""], [""a1""]]}","{""n"": 1, ""attacks"": [[0, 0]], ""expected_in_sets"": [[]], ""learned_in_sets"": []}",:- not_defended(V1); supported(V1). :- defeated(V1); not out(V1).
PRF_017,PRF,3,1,66066,0,,"{""n"": 1, ""attacks"": [[0, 0]], ""expected_in_sets"": [[]], ""learned_in_sets"": []}",:- not_defended(V1); supported(V1). :- in(V1); not supported(V1).
PRF_018,PRF,8,0,5,0,"{""n"": 2, ""attacks"": [[0, 1]], ""expected_in_sets"": [[""a0""]], ""learned_in_sets"": [[""a0""], [""a1""]]}","{""n"": 1, ""attacks"": [[0, 0]], ""expected_in_sets"": [[]], ""learned_in_sets"": []}",:- out(V1); not defeated(V1). :- defeated(V1); not out(V1).
PRF_019,PRF,8,0,5,0,"{""n"": 2, ""attacks"": [[0, 1]], ""expected_in_sets"": [[""a0""]], ""learned_in_sets"": [[""a0""], [""a1""]]}","{""n"": 1, ""attacks"": [[0, 0]], ""expected_in_sets"": [[]], ""learned_in_sets"": []}",:- out(V1); not defeated(V1). :- in(V1); defeated(V1).
PRF_020,PRF,96,1,66066,0,,"{""n"": 1, ""attacks"": [[0, 0]], ""expected_in_sets"": [[]], ""learned_in_sets"": []}",:- out(V1); not defeated(V1). :- in(V1); not supported(V1).
PRF_021,PRF,1,0,2,0,"{""n"": 1, ""attacks"": [[0, 0]], ""expected_in_sets"": [[]], ""learned_in_sets"": [[""a0""]]}","{""n"": 1, ""attacks"": [[0, 0]], ""expected_in_sets"": [[]], ""learned_in_sets"": [[""a0""]]}",:- out(V1); not not_defended(V1).
PRF_022,PRF,1,0,8,0,"{""n"": 2, ""attacks"": [[0, 1]], ""expected_in_sets"": [[""a0""]], ""learned_in_sets"": [[""a0""], [""a1""]]}","{""n"": 2, ""attacks"": [[0, 0], [0, 1]], ""expected_in_sets"": [[]], ""learned_in_sets"": [[""a1""]]}",:- out(V1); not not_defended(V1). :- defeated(V1); not out(V1).
PRF_023,PRF,4,0,8,0,"{""n"": 2, ""attacks"": [[0, 0], [0, 1]], ""expected_in_sets"": [[]], ""learned_in_sets"": [[""a1""]]}","{""n"": 2, ""attacks"": [[0, 0], [0, 1]], ""expected_in_sets"": [[]], ""learned_in_sets"": [[""a1""]]}",:- out(V1); not not_defended(V1). :- in(V1); not supported(V1).
PRF_024,PRF,3,0,5,0,"{""n"": 2, ""attacks"": [[0, 1]], ""expected_in_sets"": [[""a0""]], ""learned_in_sets"": [[""a0""], [""a1""]]}","{""n"": 1, ""attacks"": [[0, 0]], ""expected_in_sets"": [[]], ""learned_in_sets"": []}",:- out(V1); supported(V1). :- defeated(V1); not out(V1).
PRF_025,PRF,4,0,5,0,"{""n"": 2, ""attacks"": [[0, 1]], ""expected_in_sets"": [[""a0""]], ""learned_in_sets"": [[""a0""], [""a1""]]}","{""n"": 1, ""attacks"": [[0, 0]], ""expected_in_sets"": [[]], ""learned_in_sets"": []}",:- out(V1); supported(V1). :- in(V1); defeated(V1).
